Item Name,MFR Name,Selling,M.R.P,Total Stock
AACHI MUTTON MASALA 50G,MFR,28,31,12
AACHI NATTUKOZHI MASALA 50GM,MFR,23,25,2
AACHI ORIGINAL FRIED RICE 20G,MFR,11.5,12,28
AACHI PANEER BUTTER MASALA 50G,MFR,37,38,6
AACHI PANEER TIKKA MASALA 50G,MFR,28,30,5
AACHI PANI PURI KIT 155G,MFR,45,49,4
AACHI PANI PURI KIT 310G,MFR,73,75,5
AACHI PANI PURI MASALA 50G,MFR,30,33,0
AACHI PAV BHAJI MASALA 50G,MFR,33,34,0
AACHI PAYASAM MIX 100G,MFR,73,75,3
AACHI PAYASAM MIX 200G,MFR,125,129,30
AACHI PAYASAM MIX 200G 1+1,MFR,125,129,5
AACHI PEPPER CHICKEN MASALA 50G,MFR,37.5,42,9
AACHI PEPPER POWDER 100G,MFR,85,95,12
AACHI PEPPER POWDER 50G,MFR,74,76,9
AACHI PICKLE MASALA 100G,MFR,33.25,35,3
AACHI PUDHINA THOKKU RICE PASTE 200G(1+1),MFR,103,105,6
AACHI PULIOTHARAI POWDER 10/-,MFR,9.8,10,2
AACHI PULIYOTHARAI RICE PASTE 200GM,MFR,100,105,2
AACHI PUTTU POWDER 500G,MFR,46,48,5
AACHI RAGI FLOUR 500G,MFR,39,41,15
AACHI RAGI VERMICELLI 180G,MFR,19,20,0
AACHI RASAM POWDER 100G,MFR,54,58,2
AACHI RASAM POWDER 50G,MFR,37,38,10
AACHI RAVA DOSA MIX 200G,MFR,47,50,0
AACHI RAVA IDLY MIX 200G,MFR,47,50,0
AACHI RAVA KESARI MIX 200G,MFR,48,50,0
AACHI RAVA UPUMA MIX 200G,MFR,48,50,0
AACHI SAMBA BROKEN WHEAT 500G,MFR,90,95,0
AACHI SAMBAR POWDER 100G,MFR,44,46,17
AACHI SAMBAR POWDER 200G,MFR,75,92,0
AACHI SAMBAR POWDER 50G,MFR,22,23,14
AACHI SOMBU POWDER 50G,MFR,17,18,0
AACHI SPICY SAMBAR POWDER 50G,MFR,28,30,1
AACHI SUKKU COFFEE 50G,MFR,29,30,9
AACHI SUKKU MALLI COFFEE 100G,MFR,54,55,1
AACHI SUKKU MALLI COFFEE 200G JAR,MFR,90,95,0
AACHI SZECHWAN FRIED RICE 20G,MFR,11.5,12,11
AACHI TAMARIND POWDER 50G,MFR,20,23,10
AACHI TAMOTO GARLIC RICE PAST,MFR,96,99,4
AACHI TANDOORI CHICKEN MASALA 50G,MFR,35,37,3
AACHI TOMATO GARLIC PICKLE 60G,MFR,10,10,5
AACHI TOMATO PICKLE 200GM(1+1),MFR,85,89,1
AACHI TOMATO PICKLE 300G,MFR,76,80,0
AACHI TOMATO PICKLE 60G,MFR,9.8,10,26
AACHI TOMATO RICE PASTE 200G,MFR,103,105,8
AACHI TOMATO RICE POWDER 50G,MFR,18,20,4
AACHI TURMERIC  POWDER 50GMS,MFR,13,15,22
AACHI TURMERIC POWDER 100GMS,MFR,24,42,18
AACHI TURMERIC POWDER 200G,MFR,46,57,16
AACHI TURMERIC POWDER 500GMS,MFR,120,148,2
AACHI TURMERIC POWDER 50G,MFR,20,21,40
AACHI VATHA KULAMBU MASALA 50G,MFR,25,28,8
AACHI VATHA KULAMBU RICE PASTE 200G(1+1),MFR,103,105,3
AACHI VERMICELLI 150G,MFR,14.75,15,0
AACHI VERMICELLI 400G,MFR,37,38,0
AACHI VERMICELLI 925GMS,MFR,120,125,0
AADHAVAN BAJRA FLOUR 500G,MFR,35,37,0
AADHAVAN MILLET HEALTH MIX 500G,MFR,230,240,6
AADHAVAN MILLET HEALTH ROASTED GRAINS 1KGS,MFR,212,220,6
AADHAVAN NATURAL CANE SUGAR 500G,MFR,55,60,0
AADHAVAN RAGI FLOUR 500G,MFR,35,37,0
AADHAVAN RICE FLOUR 500G,MFR,35,37,0
AAKAA AAPPAM MAVU 500G,MFR,68,70,0
AAKAA ADHIRASAM MIX 500G,MFR,88,90,0
AAKAA BAJJI BONDA POWDER 180G,MFR,28,32,0
AAKAA GRAM FLOUR 200G,MFR,25,29,0
AAKAA GRAM FLOUR 500G,MFR,85,95,6
AAKAA RAGI PUTTU FLOUR 450G,MFR,71,72,0
AAKAA RAVA DOSAI FLOUR 450G,MFR,70,72,0
AAKAA RED RICE PUTTU FLOUR 450G,MFR,88,90,5
AAKAA WHITE PUTTU FLOUR 450G,MFR,88,90,6
AALIM OPNA SANDAL 8ML,MFR,85,100,2
AAPLE SPARKLE POP MINUTE MAID 250ML,MFR,14,15,28
AASHIRVAAD 2KG,MFR,96,99,11
AASHIRVAAD ATTA 2KG,MFR,98,99,5
AASHIRVAAD ATTA 5KG,MFR,300,335,11
AASHIRVAAD GHEE 1L,MFR,674,694,0
AASHIRVAAD SAMBA RAVA 500G,MFR,75,78,0
AASIRVAAD AATA 5KG,MFR,325,341,11
AASIRVAAD ATTA 10KG,MFR,560,565,0
AASIRVAAD ATTA 1KG,MFR,68,70,3
AASIRVAAD ATTA 500G,MFR,35,37,1
AASIRVAAD DOUBLE ROASTED SUJI RAVA 500G,MFR,38,40,5
AASIRVAAD RICE IDLI INSTANT MIX 200G,MFR,49,50,0
AAVIN BLUE MILK 500ML,MFR,20,20,0
AAVIN BUTTER COOKIES 80G,MFR,34,35,3
AAVIN CHOCO COOKIES 80G,MFR,34,35,0
AAVIN COOKING BUTTER 100G,MFR,59,60,1
AAVIN COOKING BUTTER 500G,MFR,273,275,20
AAVIN COW MILK,MFR,22,22,0
